LAST NAME,FIRST NAME,EMAIL,ZIPCODE,CITY,STATE,ADDRESS,PHONE
Audrey,Hasegan,ffbbieucf@jumpstartlab.com,95667,Placerville,CA,1570 Old Ranch Rd.,530-919-3000
Eli,Zielke,jbrabeth.buckley@jumpstartlab.com,92037,La Jolla,CA,3024 Cranbrook Ct,858 405 3000
Meggie,Tippit,dgsanshamel@jumpstartlab.com,94611,Piedmont,CA,28 Olive Ave.,510 282 4000
Brant,Berdis,yaaymazu@jumpstartlab.com,91326,Porter Ranch,CA,18334 Los Alimos St.,(818) 268-9000
Sherry,Cooper,amw2@jumpstartlab.com,92037,La Jolla,CA,3024 Cranbrook Ct,858 405 3000
Kayla,Lee,kiokiesmiller@jumpstartlab.com,93704,Fresno,CA,4636 N. Wishon Ave.,5592846000
Portia,Gilyard,mwsh.d@jumpstartlab.com,94305,Stanford,CA,550 San Juan St,858 405 3000
Julie,Lagor,bgshb1342@jumpstartlab.com,94305,Stanford,CA,550 San Juan St,858 405 3000
Lydia,Faber,tjzoe.davison@jumpstartlab.com,94305,Stanford,CA,550 San Juan St,858 405 3000
Natalie,Levy,uhaufman@jumpstartlab.com,94305,Stanford,CA,550 San Juan St,858 405 3000
Rachel,Farnsworth,tealsodg@jumpstartlab.com,94305,Stanford,CA,550 San Juan St,858 405 3000
Gabe,Poole,shhpin1@jumpstartlab.com,94305,Stanford,CA,550 San Juan St,858 405 3000
Hannah,Singer,cosulamjames@jumpstartlab.com,94305,Stanford,CA,550 San Juan St,858 405 3000
Brendan,Fisher,eaamsfischer@jumpstartlab.com,94107,San Francisco,CA,75 Arkansas St,415 255 9000
Sam,Murphy,fmgictechie@jumpstartlab.com,94107,San Francisco,CA,75 Arkansas St,415 255 9000
Christie,Cleeves,wxronak@jumpstartlab.com,94107,San Francisco,CA,75 Arkansas St,415 255 9000
Naani,Rosenfeld,brsinsk5@jumpstartlab.com,94107,San Francisco,CA,75 Arkansas St,415 255 9000
Kate,Two,kbhiting@jumpstartlab.com,94107,San Francisco,CA,75 Arkansas St,415 255 9000
Andrew,Null,vfases10@jumpstartlab.com,94107,San Francisco,CA,75 Arkansas Street,415 255 9000
Kristen,Sneeringer,wtats4nav@jumpstartlab.com,94107,San Francisco,CA,75 Arkansas Street,415 255 9000
Jane,Breden,ocead@jumpstartlab.com,94107,San Francisco,CA,75 Arkansas St,415 255 9000
Jaime,Pratt,ukndzom@jumpstartlab.com,95014,Cupertino,CA,"10284 alpine dr, unit c",925-324-787000
Eriel,Everett,vvrago@jumpstartlab.com,94609,Oakland,CA,470 59th St,949-533-0000
Susie,Gorman,ctadcliffe@jumpstartlab.com,94501,alameda,CA,3305 liberty ave,510-427-7000
Steve,Pierson,pdrnettj@jumpstartlab.com,94549,Lafayette,CA,3473 Shangri La Rd,(925) 766-8000
Tess,Paul,rylls3@jumpstartlab.com,94707,Berkeley,CA,1931 Marin Ave.,5103344000
Sarah,Sample,nqiza@jumpstartlab.com,94619,Oakland,CA,270 Rishell Drive,510 708 6000
Patrick,Gadhia,fjrdo1lm@jumpstartlab.com,95632,Galt,CA,978 blackwell way,916.402.1000
Tara,Heopenlinger,nnoop001@jumpstartlab.com,94705,Berkeley,CA,"2910 Wheeler Street, Apt. #7",415-575-5000
June,Bozzi,iujamison29@jumpstartlab.com,91711,claremont,CA,512 Bowling green dr,(909)762-6000
Cassie,Bunny,ewwynn@jumpstartlab.com,94110,San Francisco,CA,2418 - 24th Street,415-206-0000
Madeline,Applegate,haittdj@jumpstartlab.com,92103,SAN DIEGO,CA,3751 3RD AVE. APT. # E,702-204-7000
Amy,Phillips,ylkeevla@jumpstartlab.com,92118,Coronado,CA,1330 Orange Ave #300,619-435-7000
Stacy,Ken,puncylovesyou@jumpstartlab.com,92677,Laguna Niguel,CA,31651 National Park Drive,9492806000
Megan,Singh,rxancestsukano@jumpstartlab.com,91901,Alpine,CA,461 Summerhill Terrace,925.337.4000
Emilyn,Bartolotta,kfaldman@jumpstartlab.com,94703,Berkeley,CA,2249 Spaulding Ave. #1,281.702.7000
Dominique,Wigren,rk7kw02@jumpstartlab.com,90293,Playa del Rey,CA,6301 Vista del Mar,3109024000
Evelina,Raymond,coreen1@jumpstartlab.com,94925,Corte Madera,CA,3 Fairview Avenue,3109024000
Anne,Layton,lnm4926@jumpstartlab.com,94618,Oakland,CA,5520 Lawton Ave,415-786-3000
Benjamin,Burns,wianda_Rosenberg@jumpstartlab.com,94104,San Francisco,CA,221 Pine Street,415-786-3000
Claire,Piccinino,jlufner@jumpstartlab.com,94104,San Francisco,CA,221 Pine St,415-786-3000
Nadia,Law,fassethc@jumpstartlab.com,94104,San Francisco,CA,221 Pine St,415-786-3000
Sarah,Johnston,gylaki@jumpstartlab.com,94104,San Francisco,CA,221 Pine St,415-786-3000
Wendy,Sabo,iwarcy@jumpstartlab.com,94104,san francisco,CA,221 pine st,415-786-3000
Eric,Adler,xkooney@jumpstartlab.com,94104,san francisco,CA,221 pine st,415-786-3000
Melissa,Werth,mooodm1@jumpstartlab.com,94104,san francisco,CA,221 pine st,415-786-3000
Todd,Walsh,lrnneth.j.farrell@jumpstartlab.com,94104,san francisco,CA,221 pine st,415-786-3000
Bradley,Spioch,psyshasuley@jumpstartlab.com,94104,san francisco,CA,221 pine st,415-786-3000
Sarah,Oddie,blhhhhhhhh@jumpstartlab.com,94101,san francisco,CA,221 pine st,415-786-3000
