LAST NAME,FIRST NAME,EMAIL,ZIPCODE,CITY,STATE,ADDRESS,PHONE
54,12/7/08 14:20,Rachel,Full,axal.mike88@jumpstartlab.com,520 400 3000,622 N Treat Ave,Tucson,AZ,85716
75,12/8/08 20:43,Amy,Axe,lfeflore@jumpstartlab.com,(702) 5889000,2800 S Highland Mesa Dr,Flagstaff,AZ,86001
718,1/8/09 15:26,Abu,Ruthenberg-Marshall,xtearns@jumpstartlab.com,4808624000,730 n kachina,Mesa,AZ,85203
1514,1/21/09 17:55,Charlie,Boxer,jkpudlock@jumpstartlab.com,9286375000,200 S. Leroux Suite 202,Flagstaff,AZ,86001
1517,1/21/09 17:59,Sidny,Douglas,xfleason89@jumpstartlab.com,9285563000,200 S. Leroux,Flagstaff,AZ,86001
1518,1/21/09 18:03,Ana,Richards,mgans_j@jumpstartlab.com,9285563000,200 S. Leroux,Flagstaff,AZ,86001
1521,1/21/09 18:07,Travis,Strelsin,dnorda10@jumpstartlab.com,9285563000,200 S. Leroux,Flagstaff,AZ,86001
1523,1/21/09 18:10,Mark,Katz,cnowan1@jumpstartlab.com,9285563000,PO Box 1429,Winslow,AZ,86047
1524,1/21/09 18:12,Alexandra,Colwell,egHOUG11@jumpstartlab.com,9285563000,200 S. Leroux,Flagstaff,AZ,86001
1527,1/21/09 18:14,Cassandra,Lerback,kxacobson@jumpstartlab.com,9285563000,PO Box 460,Fort Defiance,AZ,86504
1529,1/21/09 18:19,Catherine,Pellowe,regarlic@jumpstartlab.com,9285563000,PO Box 1403,Window Rock,AZ,86515
1532,1/21/09 18:21,Visvesvaran,Muldoon,ucyantj@jumpstartlab.com,9285563000,PO Box 1403,Window Rock,AZ,86515
1537,1/21/09 18:28,Kelly,Ver Burg,mjkritig@jumpstartlab.com,9285563000,200 S. Leroux,Flagstaff,AZ,86001
1540,1/21/09 18:31,Jennifer,Theodorou,bqtandtrue@jumpstartlab.com,9285563000,200 S. Leroux,Flagstaff,AZ,86001
1541,1/21/09 18:33,Ben,Powell,qnulghum@jumpstartlab.com,9285563000,200 S. Leroux,Flagstaff,AZ,86001
1542,1/21/09 18:35,Lukas,Thelen,lpris.jacobs@jumpstartlab.com,9285563000,HC 63 Box 257,Winslow,AZ,86047
1544,1/21/09 18:38,Jordan,Bookstein,vwsephl@jumpstartlab.com,9285563000,200 S. Leroux,Flagstaff,AZ,86001
1548,1/21/09 18:41,Ashley,Macmillan,cxswift08@jumpstartlab.com,9285563000,200 S. Leroux,Flagstaff,AZ,86001
1549,1/21/09 18:44,Patrick,Moeller,susluder10@jumpstartlab.com,9285563000,200 S. Leroux,Flagstaff,AZ,86001
1553,1/21/09 18:48,Theresa,Hudson,vubintliff@jumpstartlab.com,9285563000,200 S. Leroux,Flagstaff,AZ,86001
1572,1/21/09 19:00,Joe,Rothenberg,bmhanson21@jumpstartlab.com,9285563000,HC 63 Box 257,Winslow,AZ,86047
1586,1/21/09 19:07,Jane,Hastings,ufra.r.hutton@jumpstartlab.com,9285563000,200 S. Leroux,Flagstaff,AZ,86001
1591,1/21/09 19:10,Eva,Smith,kxrahesterman@jumpstartlab.com,9285563000,200 S. Leroux,Flagstaff,AZ,86001
1604,1/21/09 19:14,Courtney,Grossmann,qmra@jumpstartlab.com,9285563000,200 S. Leroux,Flagstaff,AZ,86001
2437,1/22/09 0:17,X,McNerney,lxlotsky@jumpstartlab.com,7203275000,7413 e. buena terra way,Scottsdale,AZ,85250
2500,1/22/09 0:46,Susan,Heron,kvrlymac88@jumpstartlab.com,6023003000,620 N. 2nd Ave,Phoenix,AZ,85003
2950,1/29/09 20:04,Michele,Roseman,dng07e@jumpstartlab.com,9286007000,4865 E. Pebble Beach Dr.,Flagstaff,AZ,86004
5027,2/2/09 0:05,Andrew,Cook,kuzelray720@jumpstartlab.com,4848326000,112 E. Foothill Dr,Phoenix,AZ,12504
